,idf_weight,fakeness_score
visit,0.21887766316715931,-0.3694678866029327
websit,0.2592630781205957,-0.13811177358416027
nation,0.4972186203597738,0.40481379679471696
lord,0.861281848843356,0.13975605348117637
attack,0.6535034799553938,0.5618321476543178
especi,0.2116844582253159,-0.007570242187500353
someon,0.32238394429823153,0.03265496697736103
program,0.5645429062719786,0.27629820599941146
sourc,0.3348854961599576,-0.8318739261331383
israel,1.2343632856500046,0.874503988970613
2015,0.5101258686517174,-0.14369292070432194
billion,0.7566835373653173,-0.8933415376191721
caus,0.3652545004467719,-0.1413518413211151
hard,0.2574503575082051,0.000474278251541671
legal,0.5804972970153099,0.22028248029252517
economi,0.7596716724325735,-0.8924235026153036
instead,0.2400099934241107,0.09239042111646656
kind,0.31935163411280265,0.052426568610941304
earli,0.28632299641415,0.19311626106469193
five,0.3062262918753859,-0.07953533569270987
4,0.3537933853336691,-0.18968953405599642
word,0.3800605538864381,0.2858066376679034
everyon,0.27836560581443215,-0.15006267629916725
foreign,0.6792048284372398,0.3149372341404546
congress,0.6963121839031019,-0.08431299518903712
12,0.3788913391731332,-0.05732453178198682
either,0.23747069646025581,-0.06750942638433888
common,0.3751008051267457,-0.3576100252406865
offici,0.5457276757752556,0.5306608017339969
univers,0.5663030982352779,0.2101702322451071
hand,0.36727377073423334,-0.09252296891743361
creat,0.34049230628410293,-0.35332481026013784
marijuana,1.9350295579591015,-1.0
pay,0.4929529622313602,-0.6514905356274548
develop,0.5883908473836019,-0.9353682826908751
sens,0.4091418590806051,-0.02184688565831927
close,0.311947442989704,-0.08314483782277149
york,0.5242148608850067,0.31245256485559314
publish,0.30134836561560085,-0.05409913711297232
entir,0.3351650913080073,-0.45954854208028717
administr,0.5652466113078793,0.8716748528156981
forc,0.7335109467495065,0.21775635846961272
middl,0.5333780282365022,0.1787700653451727
line,0.39538607266650005,0.02192892376169331
fbi,1.3431582462427556,0.055455858103367506
run,0.3281985580890721,-0.16922155543114925
team,0.5350841639127715,0.2965935803041684
anyon,0.31413556781996765,-0.019383581609272116
scienc,0.7630976532577607,-0.2037277327371848
email,0.6003492447085932,-0.6229837310406935
short,0.3543633320590801,-0.1781439471284808
low,0.5655986496132822,-0.9999512739751173
safeti,0.7169891550455163,-0.8922761834920968
land,0.69110925853438,-0.0862482436691192
central,0.6420359027364047,-0.19101460525503955
list,0.4770363006099163,-0.23372378534192206
debt,1.2643599543410313,-0.8126453469214969
interest,0.5603310436698301,-0.25057427880925587
center,0.5034859584626051,0.1337917745258128
watch,0.5101258686517174,-0.0773784408547381
way,0.3956831082535471,-0.1406368796910168
behind,0.343589504390097,0.06992589682019967
europ,0.7343442454102835,-0.5472296809563135
deal,0.5114591577395988,0.0769751633361273
intellig,0.8799105877814046,0.9785442372818931
blog,0.4500127843694783,-0.710007015029011
privat,0.5952585097408345,0.022398620076110154
mr,1.0624153733562915,-0.1098202190248565
isnt,0.37335616219054457,-0.3942548602079684
recent,0.2839291235824737,0.26393255510588354
longer,0.40884079934808065,-0.05985407400297349
yourself,0.6531191011068728,-0.574508136564968
outsid,0.43692481592645643,0.5222965330483258
issu,0.46105181654791555,0.4043240689010885
tri,0.39776483148197644,-0.055466784735621166
access,0.5038169089554326,-0.24153836142853813
realiti,0.6087692680961173,0.13093733727867818
content,0.6596737205024066,-0.601651926297487
variou,0.44625585311669064,-0.14872803406977142
strong,0.4844758484432087,0.12394207632953202
head,0.4642283383892085,-0.09080284595558819
similar,0.3500966285786099,-0.005099152091364356
situat,0.49623262146309055,-0.0028802554367981514
saw,0.5772859904662605,-0.013111099890200872
chines,1.3355252040683183,-0.5454548956586092
night,0.5804972970153099,-0.053054501646721874
east,0.7206828307544664,0.12010863031810226
total,0.5526550700398307,-0.5863102017743538
young,0.6232107543607814,0.5174785152271628
age,0.6113460198715457,-0.2987938112943528
30,0.4680535319221218,-0.24469844508137484
itself,0.4203452706376161,-0.03576270652222435
15,0.45441378484004885,-0.2691060609734631
defens,0.8136890182134358,0.1981866325237276
near,0.46709586090466554,-0.3210977927024904
singl,0.4450066727287731,-0.45393388738552154
internet,0.8803928408771707,-0.7545404439421297
ask,0.5018328469309457,0.6006636748483856
certain,0.4867510883248154,-0.05659176795847076
california,0.8462517410941807,-0.027093238801012
check,0.47221407047188246,-0.9693778328992106
contact,0.582643911556463,-0.985114120441838
headlin,0.20331641451446875,-0.9943900591017935
press,0.5391908053228871,0.5656983328486642
russian,1.213955802379338,0.445989428599161
freedom,0.7088295079620525,0.722903889929092
quit,0.43198363666897316,-0.30463784313475484
planet,0.9147419318843047,-0.789311623377358
site,0.5790687763623963,-0.4740930676881723
onlin,0.6439380565473986,-0.17348376755161887
popul,0.8551485969319175,-0.1954847925280795
theyr,0.6496663239484093,-0.19271777394521383
grow,0.49524759380267225,-0.0023955971623259575
goe,0.41518216617154546,-0.3944117650038411
messag,0.6756609595526701,0.3042441770865745
facebook,0.6748751357724966,0.49660789724886945
week,0.45535938158200756,-0.01464764517210837
applic,1.2132826736517137,-0.9407876321291776
hillari,1.1646879906630339,0.03741188872181711
peac,0.8589184520162849,0.11313681756802696
dr,0.9508304181488996,0.10251645853444225
period,0.5927228277330651,-0.7792934313924359
wont,0.4776810251736886,-0.4183848528740546
blood,1.0045210332685695,-0.20293894137124502
hope,0.4818818973762131,0.3545133037221242
weapon,1.0138484354689605,0.6598949081481025
readi,0.5426259363157886,-0.45057093535112036
began,0.5457276757752556,0.3125006418737297
ground,0.660834891092699,-0.4858153970533746
donald,0.7503103002933196,0.44516499932252995
mean,0.497547502820148,-0.2981493817149542
credit,0.9222585036539467,-0.9302689146681961
